OTU	pca1510	pca1511	pca1512	pca1513	pca1514	pca1515	pca1517	pca1518	pca1519	pca151	pca1520	pca1521	pca1522	pca1523	pca152	pca154	pca157	pca158	pca159	pca171	pca172	pca173	pca174	pca175	pca181	pca182	pca183	pca184	pca185	pca186	pca187
OTU1	10275	20036	10429	8336	15067	6469	14919	11247	17622	11133	13286	15707	14730	18258	6926	3143	24312	18750	13306	0	0	0	0	0	19374	22658	12334	18175	5482	8316	10157
OTU2	12303	4842	3751	7478	2997	11371	3432	2914	2139	2075	1615	7871	5475	23161	860	2577	4339	6607	4840	0	0	0	0	0	356	326	671	273	1101	1165	259
OTU3	2481	3411	5174	4595	5253	9247	693	1455	3978	4279	2133	2562	5937	17570	2354	14004	1243	4294	638	0	0	0	0	0	686	543	483	302	2168	1353	294
OTU4	1733	868	1203	2184	268	1149	1581	2196	297	2003	1615	2211	1633	2601	297	934	1929	336	1056	0	0	5	0	0	1156	1543	3617	2546	9916	7684	89
OTU5	1114	538	466	915	245	524	1085	1219	143	934	1180	1396	957	1707	129	131	958	232	549	0	0	19	0	0	444	413	482	369	303	539	20
OTU6	404	394	275	285	1437	205	685	1169	491	744	203	1202	84	260	499	342	755	272	392	0	0	0	0	0	330	215	1113	94	168	452	4525
OTU7	867	460	509	1027	176	749	844	1303	218	1282	1020	1089	767	1169	40	24	1114	87	508	0	0	3	0	0	678	575	511	411	487	413	4
OTU8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1807	3083	7242	1202	1468	0	0	0	0	0	0	0
OTU9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	2815	3381	4146	0	0	0	0	0	0	0	0	0
OTU10	0	0	0	0	49	2	281	3229	3019	0	2	0	0	0	0	0	0	967	0	0	0	0	0	0	0	0	0	10	3	3	0
OTU11	147	154	74	2	396	823	1356	1242	129	155	1395	13	124	69	109	466	0	662	24	0	0	0	0	0	24	8	29	95	0	2	16
OTU12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	628	4814	1417	8	87	0	0	0	0	0	0	0
OTU13	431	152	132	251	769	18	235	156	179	303	593	203	178	347	84	46	297	383	215	0	0	0	0	0	297	32	231	55	127	151	347
OTU14	0	84	250	550	0	0	0	0	0	124	0	169	0	0	0	63	186	0	0	0	0	0	0	0	1081	0	249	84	0	26	1703
OTU15	0	191	24	0	2449	61	0	0	0	0	436	25	0	0	0	143	17	62	5	0	0	0	0	0	0	2	0	0	0	0	0
OTU16	89	98	158	34	17	75	66	68	4	324	48	36	153	182	646	1204	22	18	48	0	0	0	0	3	5	5	9	10	17	25	0
OTU17	18	50	11	19	21	27	153	33	110	2	181	0	0	92	59	36	0	7	142	0	0	0	1905	0	55	0	0	0	0	0	5
OTU18	424	3	36	0	1081	131	32	0	0	4	42	206	0	66	25	38	4	69	162	0	0	0	0	0	68	32	0	71	7	11	0
OTU19	0	0	7	56	0	0	324	420	163	0	36	0	0	0	0	29	0	0	0	0	0	0	0	0	30	0	0	0	45	0	551
OTU20	0	0	0	0	0	0	0	0	0	152	0	0	0	0	1060	322	0	0	0	0	3	0	4	11	2	0	1	0	0	0	0
OTU21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	229	278	585	173	111	0	0	0	0	0	0	0
OTU22	296	0	179	189	192	0	93	46	6	0	0	102	29	6	0	0	41	1	0	0	0	0	0	0	5	0	0	105	0	3	0
OTU23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63	0	0	0	2	0	0	0	1101	0	0	0	0	0	0	0	0
OTU24	1	8	16	4	6	2	11	0	0	275	8	4	2	12	304	278	3	0	10	2	2	5	4	8	10	14	22	3	4	4	27
OTU25	0	4	3	0	0	0	0	10	0	0	0	0	0	0	82	0	0	4	0	0	0	10	284	620	0	0	6	3	0	15	0
OTU26	20	4	4	87	60	13	257	120	25	9	49	21	9	100	0	6	86	4	30	0	0	0	0	0	4	60	7	0	4	11	27
OTU27	95	0	0	0	0	0	119	23	0	2	39	0	0	1	44	42	0	0	10	0	0	0	532	0	16	0	0	27	0	0	4
OTU28	3	327	30	0	2	35	2	31	66	9	0	0	3	22	0	22	0	41	221	0	0	0	0	0	67	0	0	2	0	0	0
OTU29	0	15	8	11	31	0	0	47	7	5	7	32	0	55	5	7	39	0	0	301	137	53	0	0	0	48	4	7	2	0	0
OTU30	3	0	20	2	0	4	30	436	0	0	0	29	4	15	0	95	0	0	3	0	0	0	0	0	0	0	0	0	31	0	0
OTU31	0	0	34	0	0	16	0	0	0	0	16	0	0	86	0	311	80	0	0	0	0	0	0	0	0	0	0	0	17	66	2
OTU32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65	91	236	145	64	0	18	0	3	0	3	0
OTU33	6	0	0	0	0	0	0	0	0	50	0	0	0	2	269	201	0	0	2	6	6	2	11	21	4	5	4	0	0	2	4
OTU34	17	0	20	18	18	10	0	96	0	25	31	89	44	0	0	31	3	54	19	0	0	0	0	0	7	26	0	9	0	0	61
OTU35	0	0	0	69	0	0	0	0	0	0	0	6	0	4	346	22	0	0	7	3	0	2	2	0	0	0	0	0	0	0	0
