OTU	Domain	Phylum	Class	Order	Family	Genus	Species
OTU1	D_0__Bacteria	D_1__Firmicutes	D_2__Clostridia	D_3__Clostridiales	D_4__Clostridiaceae 1	D_5__Clostridium sensu stricto 1	
OTU2	D_0__Bacteria	D_1__Proteobacteria	D_2__Gammaproteobacteria	D_3__Vibrionales	D_4__Vibrionaceae	D_5__Photobacterium	
OTU3	D_0__Bacteria	D_1__Proteobacteria	D_2__Alphaproteobacteria				
OTU4	D_0__Bacteria	D_1__Cyanobacteria	D_2__Oxyphotobacteria	D_3__Synechococcales	D_4__Cyanobiaceae	D_5__Synechococcus CC9902	
OTU5	D_0__Bacteria	D_1__Spirochaetes	D_2__Spirochaetia	D_3__Spirochaetales	D_4__Spirochaetaceae	D_5__uncultured	D_6__uncultured marine bacterium
OTU6	D_0__Bacteria	D_1__Proteobacteria	D_2__Gammaproteobacteria	D_3__Cardiobacteriales	D_4__Cardiobacteriaceae	D_5__uncultured	D_6__uncultured bacterium
OTU7	D_0__Bacteria	D_1__Proteobacteria	D_2__Gammaproteobacteria	D_3__Alteromonadales	D_4__Alteromonadaceae	D_5__Alteromonas	
OTU8	D_0__Bacteria	D_1__Tenericutes	D_2__Mollicutes	D_3__Mycoplasmatales	D_4__Mycoplasmataceae	D_5__Mycoplasma	D_6__uncultured Mycoplasma sp.
OTU9	D_0__Bacteria	D_1__Tenericutes	D_2__Mollicutes	D_3__Mycoplasmatales	D_4__Mycoplasmataceae	D_5__Mycoplasma	D_6__uncultured Mycoplasma sp.
OTU10	D_0__Bacteria	D_1__Proteobacteria	D_2__Alphaproteobacteria				
OTU11	D_0__Bacteria	D_1__Proteobacteria	D_2__Alphaproteobacteria	D_3__uncultured	D_4__uncultured Rhodobacteraceae bacterium	D_5__uncultured Rhodobacteraceae bacterium	D_6__uncultured Rhodobacteraceae bacterium
OTU12	D_0__Bacteria	D_1__Proteobacteria	D_2__Gammaproteobacteria	D_3__Oceanospirillales	D_4__Endozoicomonadaceae	D_5__Endozoicomonas	
OTU13	D_0__Bacteria	D_1__Spirochaetes	D_2__Spirochaetia	D_3__Spirochaetales	D_4__Spirochaetaceae	D_5__Spirochaeta 2	
OTU14	D_0__Bacteria	D_1__Planctomycetes	D_2__Planctomycetacia	D_3__Pirellulales	D_4__Pirellulaceae	D_5__uncultured	
OTU15	D_0__Bacteria	D_1__Proteobacteria	D_2__Gammaproteobacteria	D_3__Cellvibrionales	D_4__Spongiibacteraceae	D_5__uncultured	D_6__uncultured bacterium
OTU16	D_0__Bacteria	D_1__Bacteroidetes	D_2__Bacteroidia	D_3__Flavobacteriales	D_4__Flavobacteriaceae	D_5__Tenacibaculum	D_6__uncultured Flavobacteriales bacterium
OTU17	D_0__Bacteria	D_1__Proteobacteria	D_2__Alphaproteobacteria	D_3__Rhizobiales	D_4__Stappiaceae	D_5__Labrenzia	
OTU18	D_0__Bacteria	D_1__Tenericutes	D_2__Mollicutes	D_3__Entomoplasmatales	D_4__Entomoplasmatales Incertae Sedis	D_5__Candidatus Hepatoplasma	D_6__uncultured Candidatus Marinoplasma sp.
OTU19	D_0__Bacteria	D_1__Bacteroidetes	D_2__Bacteroidia	D_3__Flavobacteriales	D_4__Flavobacteriaceae		
OTU20	D_0__Bacteria	D_1__Proteobacteria	D_2__Gammaproteobacteria	D_3__Vibrionales	D_4__Vibrionaceae	D_5__Photobacterium	
OTU21	D_0__Bacteria	D_1__Proteobacteria	D_2__Gammaproteobacteria	D_3__BD72BR169	D_4__uncultured Vibrio sp.	D_5__uncultured Vibrio sp.	D_6__uncultured Vibrio sp.
OTU22	D_0__Bacteria	D_1__Proteobacteria	D_2__Alphaproteobacteria				
OTU23	D_0__Bacteria	D_1__Proteobacteria	D_2__Gammaproteobacteria	D_3__Alteromonadales	D_4__Alteromonadaceae	D_5__uncultured	D_6__uncultured bacterium
OTU24	D_0__Bacteria	D_1__Firmicutes	D_2__Bacilli	D_3__Bacillales	D_4__Staphylococcaceae	D_5__Staphylococcus	
OTU25	D_0__Bacteria	D_1__Spirochaetes	D_2__Spirochaetia	D_3__Spirochaetales	D_4__Spirochaetaceae	D_5__uncultured	D_6__Acanthogorgia aspera
OTU26	D_0__Bacteria	D_1__Chloroflexi	D_2__Anaerolineae	D_3__Ardenticatenales	D_4__uncultured	D_5__uncultured organism	D_6__uncultured organism
OTU27	D_0__Bacteria	D_1__Proteobacteria	D_2__Alphaproteobacteria	D_3__Caulobacterales	D_4__Hyphomonadaceae	D_5__Hyphomonas	
OTU28	D_0__Bacteria	D_1__Proteobacteria	D_2__Gammaproteobacteria	D_3__Ectothiorhodospirales	D_4__Thioalkalispiraceae	D_5__SS1-B-09-64	D_6__uncultured gamma proteobacterium
OTU29	D_0__Bacteria	D_1__Proteobacteria	D_2__Alphaproteobacteria	D_3__Sphingomonadales	D_4__Sphingomonadaceae	D_5__Sphingobium	D_6__Sphingobium yanoikuyae
OTU30	D_0__Bacteria	D_1__Planctomycetes	D_2__Planctomycetacia	D_3__Pirellulales	D_4__Pirellulaceae	D_5__uncultured	D_6__uncultured planctomycete
