SAMPLEID	Code	Year	yecat	Specie	Locality	Depth	temperature	enso							
pca1510	HP10	2015	a	cairnsi	Arrecife	12.5	27.39	anomalia							
pca1511	HP11	2015	a	cairnsi	Arrecife	12.5	27.39	anomalia							
pca1512	HP12	2015	a	cairnsi	Arrecife	12.5	27.39	anomalia							
pca1513	HP13	2015	a	cairnsi	Arrecife	12.5	27.39	anomalia							
pca1514	HP14	2015	a	cairnsi	Arrecife	12.5	27.39	anomalia							
pca1515	HP15	2015	a	cairnsi	Arrecife	"12,5"	27.39	anomalia							
pca1517	HP17	2015	a	cairnsi	Arrecife	"12,5"	27.39	anomalia							
pca1518	HP18	2015	a	cairnsi	Arrecife	"12,5"	27.39	anomalia							
pca1519	HP19	2015	a	cairnsi	Arrecife	"12,5"	27.39	anomalia							
pca151	HP1	2015	a	cairnsi	Arrecife	"12,5"	27.39	anomalia							
pca1520	HP20	2015	a	cairnsi	Arrecife	"12,5"	27.39	anomalia							
pca1521	HP21	2015	a	cairnsi	Arrecife	"12,5"	27.39	anomalia							
pca1522	HP22	2015	a	cairnsi	Arrecife	"12,5"	27.39	anomalia							
pca1523	HP23	2015	a	cairnsi	Arrecife	"12,5"	27.39	anomalia							
pca152	HP2	2015	a	cairnsi	Arrecife	"12,5"	27.39	anomalia							
pca154	HP4	2015	a	cairnsi	Arrecife	"12,5"	27.39	anomalia							
pca157	HP7	2015	a	cairnsi	Arrecife	"12,5"	27.39	anomalia							
pca158	HP8	2015	a	cairnsi	Arrecife	"12,5"	27.39	anomalia							
pca159	HP9	2015	a	cairnsi	Arrecife	"12,5"	27.39	anomalia							
pca171	701	2017	b	cairnsi	Arrecife	16	23.82	normalidad							
pca172	702	2017	b	cairnsi	Arrecife	16	23.82	normalidad							
pca173	703	2017	b	cairnsi	Arrecife	16	23.82	normalidad							
pca174	704	2017	b	cairnsi	Arrecife	16	23.82	normalidad							
pca175	706	2017	b	cairnsi	Arrecife	16	23.82	normalidad							
pca181	100	2018	c	cairnsi	Arrecife	12.4	19.39	anomalia							
pca182	104	2018	c	cairnsi	Arrecife	14.1	19.39	anomalia							
pca183	109	2018	c	cairnsi	Arrecife	14.1	19.39	anomalia							
pca184	110	2018	c	cairnsi	Arrecife	14.1	19.39	anomalia							
pca185	113	2018	c	cairnsi	Nevera	18	19.39	anomalia							
pca186	114	2018	c	cairnsi	Nevera	18	19.39	anomalia							
pca187	118	2018	c	cairnsi	Nevera	18.5	19.39	anomalia							
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
